stack,ind,Cell_Label
stack_1,092_005,27.0
stack_1,090_015,29.0
stack_1,089_013,28.0
stack_1,088_025,26.0
stack_1,087_023,20.0
stack_1,086_016,20.0
stack_1,084_023,31.0
stack_1,083_013,20.0
stack_1,082_015,31.0
stack_1,080_015,30.0
stack_1,091_026,32.0
stack_1,056_003,15.0
stack_1,054_013,14.0
stack_1,028_006,5.0
stack_1,027_007,9.0
stack_1,026_005,
stack_1,025_007,8.0
stack_1,024_007,5.0
stack_1,023_006,2.0
stack_1,022_004,3.0
stack_1,021_002,8.0
stack_1,020_005,7.0
stack_1,018_003,8.0
stack_1,017_006,5.0
stack_1,016_003,3.0
stack_1,015_001,8.0
stack_1,014_001,3.0
stack_1,013_006,3.0
stack_1,012_002,8.0
stack_1,011_003,3.0
stack_1,010_003,5.0
stack_1,009_007,6.0
stack_1,008_002,5.0
stack_1,055_002,14.0
stack_1,029_003,4.0
stack_1,030_006,5.0
stack_1,019_004,3.0
stack_1,032_005,4.0
stack_1,053_010,14.0
stack_1,031_002,3.0
stack_1,052_005,15.0
stack_1,051_003,8.0
stack_1,050_009,15.0
stack_1,049_014,14.0
stack_1,048_001,15.0
stack_1,046_003,13.0
stack_1,045_011,14.0
stack_1,044_010,11.0
stack_1,043_008,8.0
stack_1,047_011,13.0
stack_1,034_010,11.0
stack_1,041_008,14.0
stack_1,040_014,11.0
stack_1,039_003,12.0
stack_1,038_004,10.0
stack_1,037_006,12.0
stack_1,036_001,10.0
stack_1,035_002,15.0
stack_1,042_004,14.0
stack_1,033_006,4.0
stack_1,074_014,5.0
stack_1,075_020,5.0
stack_1,076_014,12.0
stack_1,077_024,14.0
stack_1,082_019,13.0
stack_1,079_019,9.0
stack_1,080_021,17.0
stack_1,081_027,17.0
stack_1,073_006,7.0
stack_1,078_005,10.0
stack_1,072_011,5.0
stack_1,062_005,7.0
stack_1,070_017,21.0
stack_1,069_010,16.0
stack_1,068_023,16.0
stack_1,067_077,15.0
stack_1,066_078,14.0
stack_1,065_017,6.0
stack_1,064_016,12.0
stack_1,063_001,1.0
stack_1,061_008,8.0
stack_1,083_007,9.0
stack_1,071_006,12.0
stack_1,084_024,21.0
stack_1,108_029,11.0
stack_1,086_006,
stack_1,060_003,14.0
stack_1,109_033,9.0
stack_1,107_018,9.0
stack_1,106_011,12.0
stack_1,105_024,
stack_1,104_026,21.0
stack_1,103_015,11.0
stack_1,102_007,13.0
stack_1,101_001,10.0
stack_1,100_008,13.0
stack_1,099_012,7.0
stack_1,098_020,26.0
stack_1,097_001,15.0
stack_1,096_010,17.0
stack_1,095_014,24.0
stack_1,094_008,10.0
stack_1,093_013,22.0
stack_1,092_013,24.0
stack_1,091_003,22.0
stack_1,090_004,12.0
stack_1,089_014,13.0
stack_1,088_008,16.0
stack_1,087_004,15.0
stack_1,085_027,27.0
stack_1,059_007,16.0
stack_1,046_004,1.0
stack_1,057_004,10.0
stack_1,029_012,11.0
stack_1,028_010,2.0
stack_1,027_004,7.0
stack_1,026_001,3.0
stack_1,025_005,7.0
stack_1,024_003,3.0
stack_1,023_005,3.0
stack_1,022_002,1.0
stack_1,021_006,7.0
stack_1,020_007,6.0
stack_1,030_004,6.0
stack_1,019_003,2.0
stack_1,017_003,7.0
stack_1,016_002,8.0
stack_1,015_003,7.0
stack_1,014_006,9.0
